Issues
GEODETIC_DATUM_ASSUMED_WGS84
CONTINENT_DERIVED_FROM_COORDINATES
MODIFIED_DATE_INVALID
TAXON_CONCEPT_ID_NOT_FOUND
MULTIMEDIA_URI_INVALID
TAXON_MATCH_FUZZY
CONTINENT_INVALID
RECORDED_DATE_INVALID
COUNTRY_INVALID
TAXON_ID_NOT_FOUND
COORDINATE_PRECISION_INVALID
OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
SCIENTIFIC_NAME_ID_NOT_FOUND
CONTINENT_COORDINATE_MISMATCH
IDENTIFIED_DATE_INVALID
COORDINATE_ROUNDED
INDIVIDUAL_COUNT_INVALID
TAXON_MATCH_HIGHERRANK
COUNTRY_DERIVED_FROM_COORDINATES
TYPE_STATUS_INVALID
NA
COORDINATE_UNCERTAINTY_METERS_INVALID
MULTIMEDIA_DATE_INVALID
